{1.95, 0.04}
{1.995, 0.017142857142857144}
{2.04, 0.022857142857142857}
{2.085, 0.06857142857142857}
{2.13, 0.045714285714285714}
{2.175, 0.04}
{2.22, 0.04}
{2.265, 0.06285714285714286}
{2.31, 0.09142857142857143}
{2.355, 0.06857142857142857}
{2.4, 0.022857142857142857}
{2.445, 0.02857142857142857}
{2.49, 0.04}
{2.535, 0.06285714285714286}
{2.58, 0.045714285714285714}
{2.625, 0.03428571428571429}
{2.67, 0.07428571428571429}
{2.715, 0.03428571428571429}
{2.76, 0.06857142857142857}
{2.805, 0.03428571428571429}
{2.85, 0.09714285714285714}
{2.895, 0.08571428571428572}
{2.94, 0.02857142857142857}
